
Position,Visual Component
"(a, d)","(x, x)"
"(d, a)","(x, x)"
"(a, d)","(x, y)"
"(d, a)","(x, y)"
"(a, d)","(x, z)"
"(d, a)","(x, z)"
"(a, d)","(y, y)"
"(d, a)","(y, y)"
"(a, d)","(y, z)"
"(d, a)","(y, z)"
"(a, d)","(z, z)"
"(d, a)","(z, z)"
"(a, e)","(x, x)"
"(e, a)","(x, x)"
"(a, e)","(x, y)"
"(e, a)","(x, y)"
"(a, e)","(x, z)"
"(e, a)","(x, z)"
"(a, e)","(y, y)"
"(e, a)","(y, y)"
"(a, e)","(y, z)"
"(e, a)","(y, z)"
"(a, e)","(z, z)"
"(e, a)","(z, z)"
"(a, f)","(x, x)"
"(f, a)","(x, x)"
"(a, f)","(x, y)"
"(f, a)","(x, y)"
"(a, f)","(x, z)"
"(f, a)","(x, z)"
"(a, f)","(y, y)"
"(f, a)","(y, y)"
"(a, f)","(y, z)"
"(f, a)","(y, z)"
"(a, f)","(z, z)"
"(f, a)","(z, z)"
"(b, e)","(x, x)"
"(e, b)","(x, x)"
"(b, e)","(x, y)"
"(e, b)","(x, y)"
"(b, e)","(x, z)"
"(e, b)","(x, z)"
"(b, e)","(y, y)"
"(e, b)","(y, y)"
"(b, e)","(y, z)"
"(e, b)","(y, z)"
"(b, e)","(z, z)"
"(e, b)","(z, z)"
"(b, f)","(x, x)"
"(f, b)","(x, x)"
"(b, f)","(x, y)"
"(f, b)","(x, y)"
"(b, f)","(x, z)"
"(f, b)","(x, z)"
"(b, f)","(y, y)"
"(f, b)","(y, y)"
"(b, f)","(y, z)"
"(f, b)","(y, z)"
"(b, f)","(z, z)"
"(f, b)","(z, z)"
"(b, g)","(x, x)"
"(g, b)","(x, x)"
"(b, g)","(x, y)"
"(g, b)","(x, y)"
"(b, g)","(x, z)"
"(g, b)","(x, z)"
"(b, g)","(y, y)"
"(g, b)","(y, y)"
"(b, g)","(y, z)"
"(g, b)","(y, z)"
"(b, g)","(z, z)"
"(g, b)","(z, z)"
"(c, f)","(x, x)"
"(f, c)","(x, x)"
"(c, f)","(x, y)"
"(f, c)","(x, y)"
"(c, f)","(x, z)"
"(f, c)","(x, z)"
"(c, f)","(y, y)"
"(f, c)","(y, y)"
"(c, f)","(y, z)"
"(f, c)","(y, z)"
"(c, f)","(z, z)"
"(f, c)","(z, z)"
"(c, g)","(x, x)"
"(g, c)","(x, x)"
"(c, g)","(x, y)"
"(g, c)","(x, y)"
"(c, g)","(x, z)"
"(g, c)","(x, z)"
"(c, g)","(y, y)"
"(g, c)","(y, y)"
"(c, g)","(y, z)"
"(g, c)","(y, z)"
"(c, g)","(z, z)"
"(g, c)","(z, z)"
"(c, h)","(x, x)"
"(h, c)","(x, x)"
"(c, h)","(x, y)"
"(h, c)","(x, y)"
"(c, h)","(x, z)"
"(h, c)","(x, z)"
"(c, h)","(y, y)"
"(h, c)","(y, y)"
"(c, h)","(y, z)"
"(h, c)","(y, z)"
"(c, h)","(z, z)"
"(h, c)","(z, z)"
"(d, g)","(x, x)"
"(g, d)","(x, x)"
"(d, g)","(x, y)"
"(g, d)","(x, y)"
"(d, g)","(x, z)"
"(g, d)","(x, z)"
"(d, g)","(y, y)"
"(g, d)","(y, y)"
"(d, g)","(y, z)"
"(g, d)","(y, z)"
"(d, g)","(z, z)"
"(g, d)","(z, z)"
"(d, h)","(x, x)"
"(h, d)","(x, x)"
"(d, h)","(x, y)"
"(h, d)","(x, y)"
"(d, h)","(x, z)"
"(h, d)","(x, z)"
"(d, h)","(y, y)"
"(h, d)","(y, y)"
"(d, h)","(y, z)"
"(h, d)","(y, z)"
"(d, h)","(z, z)"
"(h, d)","(z, z)"
"(e, h)","(x, x)"
"(h, e)","(x, x)"
"(e, h)","(x, y)"
"(h, e)","(x, y)"
"(e, h)","(x, z)"
"(h, e)","(x, z)"
"(e, h)","(y, y)"
"(h, e)","(y, y)"
"(e, h)","(y, z)"
"(h, e)","(y, z)"
"(e, h)","(z, z)"
"(h, e)","(z, z)"
